Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,Type 1,Type 2,Type 3,Type 4,,
24310,68365,,support.eu@aspiegel.com,[HUAWEI Music] Problems and Suggestions,Mxxxxx@xxxx.com Отправлено с моего телефона Huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,
24075,67730,,support.pt@aspiegel.com,[AppGallery]Probleme und Vorschläge,Beschreibung Update lässt sich nicht installieren Kontaktinformationen Sxxxxx@xxxx.comDescription Update cannot be installed Contact information Sxxxxx@xxxx.com Description Update cannot be installed Contact information Sxxxxx@xxxx.comDescription Update cannot be installed Contact information Sxxxxx@xxxx.com,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,
24075,67762,,support.pt@aspiegel.com,Re: RE : [AppGallery]Probleme und Vorschläge Re: RE : [AppGallery]Problems and Suggestions,"Danke Nach Neuinstallation der App funktioniert alles einwandfrei MfG *****(PER) schrieb am Do., 8. Sep. *****(PHONE), 20:42: Sehr geehrter Kunde, vielen Dank, dass Sie mit Aspiegel Kontakt aufgenommen haben. Wir hoffen, dass es Ihnen gut geht. Um Ihnen die beste Lösung anbieten zu können, bitten wir Sie, Ihre Anfrage mit den folgenden Informationen zu präzisieren: 1. Eine Beschreibung des Problems 2. Ein Screenshot oder eine Videoaufnahme des Fehlers 3. Wann das Problem aufgetreten ist 4. Ihre Huawei-ID: App Gallery>HMS core>Öffnen und dann einen Screenshot machen 5. Ihr Handymodell 6. SN-Nummer Ihres Geräts 7. Version der App-Galerie: Huawei App-Galerie>Mich> Über 8. HMS Core Version: Huawei App-Galerie>HMS-Kern>Öffnen> Einstellungen> Über 9. Verwandte App 10. Version der verwandten App 11. Das Protokoll der App-Galerie Wenn Sie weitere Fragen haben, antworten Sie bitte auf diesen E-Mail-Thread und wir werden Ihnen gerne weiterhelfen. Mit freundlichen Grüßen, *****(PER) Customer Support team A Aspiegel SE é uma empresa constituída segundo as leis da *****(LOC), com sede em Dublin, *****(LOC). Aspiegel SE é o provedor de Huawei Mobile Services para Huawei e Honor proprietários de dispositivos na Europa, Canadá, Austrália, Nova Zelândia e outros países. From : xxxxx@xxxx.com Sent : Thursday 08 September *****(PHONE) 20:07 To : xxxxx@xxxx.com Subject : [AppGallery]Probleme und Vorschläge Beschreibung Update lässt sich nicht installieren Kontaktinformationen Sxxxxx@xxxx.com *****(PHONE)",AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,
23748,66706,,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,Description . Contact information Axxxxx@xxxx.com,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,
23740,66684,,support.eu@aspiegel.com,,Ho pagato ma l'applicazione non ha funzionato posso essere rimborsata. Grazie Ho I paid but the application did not work can I be refunded. Thank you,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,
23683,66429,,support.eu@aspiegel.com,Aspiegel Support issue submit,"Product: AppGallery & Games Requests: Using AppGallery (i.e. manage service country) Contact Full Name: Inês Lavrador Ramos Phone Number: +*****(PHONE) Contact Email Address: xxxxx@xxxx.com Summary of the issue: Good morning! I would like to know how I can use a voucher that I won on app gallery since the store now was put together with other store, and I still have the voucher to use! thanks in advance! Home | News | Events | Products | Partners | Support Copyright Aspiegel SE","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,
23683,67433,,support.eu@aspiegel.com,Re: RE : Aspiegel Support issue submit,"Hello , good morning! So the campaign name was ""XMAS download and win play PT"" as you will see in the screenshot I will send you, and I won a voucher to use it in a online store called ""*****(PERSON)"" but now ""*****(PERSON)"" is a part of other company/store called ""*****(PERSON)"" And what's my Huawei I'd service country? Thanks in advance! A ter, 6 de set de *****(PHONE), 12:16, escreveu: Dear Customer, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is regarding your concern about *****(PERSON) worry I will do my best to solve your problem as soon as possible. In order to analyze your case in detail I will need the following information from you: Error screenshot The name of the champagne you have attended Your Huawei Id Service country We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Silvia *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Tuesday 06 September *****(PHONE) 12:17 To : xxxxx@xxxx.com Subject : *****(PERSON) Support issue submit Product: AppGallery & Games Requests: Using AppGallery (i.e. manage service country) Contact Full Name: Inês Lavrador Ramos Phone Number: +*****(PHONE) Contact Email Address: xxxxx@xxxx.com Summary of the issue: Good morning! I would like to know how I can use a voucher that I won on app gallery since the store now was put together with other store, and I still have the voucher to use! thanks in advance! Home | News | Events | Products | Partners | Support Copyright *****(PERSON) SE *****(PHONE)","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,
23683,67516,,support.eu@aspiegel.com,Re: RE : Aspiegel Support issue submit,"I have to an account there? also I don't speak german! escreveu no dia quinta, 8/09/*****(PHONE) à(s) 12:08: Sehr geehrter Kunde, wir empfehlen Ihnen, uns über den Discord-Kanal https://discord.gg/tkYZC5CAGu direkt von Ihrem Computer aus zu kontaktieren. *****(PERSON) haben, Discord zu benutzen, oder wenn Sie es vorziehen, dass wir den Fall bearbeiten, geben Sie uns bitte folgende Informationen für weitere Untersuchungen: - Ihr Dienstland AppGallery> Ich> Einstellungen> Land - Ihre Discord-Kontaktinformationen, falls zutreffend Wenn Sie weitere Fragen haben, antworten Sie bitte auf diesen e-Mail und wir helfen Ihnen gerne bei Ihren Zweifeln weiter. *****(PERSON), Andrea *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 08 September *****(PHONE) 12:20 To : xxxxx@xxxx.com Subject : Re: RE : *****(PERSON) Support issue submit Hello , good morning! So the campaign name was ""XMAS download and win play PT"" as you will see in the screenshot I will send you, and I won a voucher to use it in a online store called ""*****(PERSON)"" but now ""*****(PERSON)"" is a part of other company/store called ""*****(PERSON)"" And what's my Huawei I'd service country? Thanks in advance! A ter, 6 de set de *****(PHONE), 12:16, < xxxxx@xxxx.com> escreveu: Dear Customer, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is regarding your concern about *****(PERSON) worry I will do my best to solve your problem as soon as possible. In order to analyze your case in detail I will need the following information from you: Error screenshot The name of the champagne you have attended Your Huawei Id Service country We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Silvia *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Tuesday 06 September *****(PHONE) 12:17 To : xxxxx@xxxx.com Subject : *****(PERSON) Support issue submit Product: AppGallery & Games Requests: Using AppGallery (i.e. manage service country) Contact Full Name: Inês Lavrador Ramos Phone Number: +*****(PHONE) Contact Email Address: xxxxx@xxxx.com Summary of the issue: Good morning! I would like to know how I can use a voucher that I won on app gallery since the store now was put together with other store, and I still have the voucher to use! thanks in advance! Home | News | Events | Products | Partners | Support Copyright *****(PERSON) SE *****(PHONE) *****(PHONE)","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,
23683,67915,,support.eu@aspiegel.com,Re: RE : Aspiegel Support issue submit,"Sure, the country of my app gallery and my country is Portugal! I can't enter on discord sorry, I don't understand it! A qui, 8 de set de *****(PHONE), 13:07, escreveu: Dear Customer, This email is regarding your concern about *****(PERSON) voucher. We recommend that you contact us through the Discord channel https://discord.gg/tkYZC5CAGu directly from your computer. If you are having difficulty using Discord, or if you prefer us to handle the case, please provide us with the following information for further investigation: - Your country of service AppGallery> Me> Settings> Country. - Your Discord contact information, if applicable. If you have any further questions, please reply to this e-Mail and we will be happy to help you with your doubts. Sincerely, Andrea *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 08 September *****(PHONE) 13:48 To : xxxxx@xxxx.com Subject : Re: RE : *****(PERSON) Support issue submit I have to an account there? also I don't speak german! < xxxxx@xxxx.com> escreveu no dia quinta, 8/09/*****(PHONE) à(s) 12:08: Sehr geehrter Kunde, wir empfehlen Ihnen, uns über den Discord-Kanal https://discord.gg/tkYZC5CAGu direkt von Ihrem Computer aus zu kontaktieren. *****(PERSON) haben, Discord zu benutzen, oder wenn Sie es vorziehen, dass wir den Fall bearbeiten, geben Sie uns bitte folgende Informationen für weitere Untersuchungen: - Ihr Dienstland AppGallery> Ich> Einstellungen> Land - Ihre Discord-Kontaktinformationen, falls zutreffend Wenn Sie weitere Fragen haben, antworten Sie bitte auf diesen e-Mail und wir helfen Ihnen gerne bei Ihren Zweifeln weiter. *****(PERSON), Andrea *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 08 September *****(PHONE) 12:20 To : xxxxx@xxxx.com Subject : Re: RE : *****(PERSON) Support issue submit Hello , good morning! So the campaign name was ""XMAS download and win play PT"" as you will see in the screenshot I will send you, and I won a voucher to use it in a online store called ""*****(PERSON)"" but now ""*****(PERSON)"" is a part of other company/store called ""*****(PERSON)"" And what's my Huawei I'd service country? Thanks in advance! A ter, 6 de set de *****(PHONE), 12:16, < xxxxx@xxxx.com> escreveu: Dear Customer, Thank you for contacting *****(PERSON). We hope you’re doing well. This email is regarding your concern about *****(PERSON) worry I will do my best to solve your problem as soon as possible. In order to analyze your case in detail I will need the following information from you: Error screenshot The name of the champagne you have attended Your Huawei Id Service country We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Silvia *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Huawei Mobile Services to Huawei and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Tuesday 06 September *****(PHONE) 12:17 To : xxxxx@xxxx.com Subject : *****(PERSON) Support issue submit Product: AppGallery & Games Requests: Using AppGallery (i.e. manage service country) Contact Full Name: Inês Lavrador Ramos Phone Number: +*****(PHONE) Contact Email Address: xxxxx@xxxx.com Summary of the issue: Good morning! I would like to know how I can use a voucher that I won on app gallery since the store now was put together with other store, and I still have the voucher to use! thanks in advance! Home | News | Events | Products | Partners | Support Copyright *****(PERSON) SE *****(PHONE) *****(PHONE) *****(PHONE)","AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,
23624,66266,,support.pt@aspiegel.com,[GameCentre]Problems and suggestions,Description No Moontoon Contact information xxxxx@xxxx.com Sent from my Huawei phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't download Apps,,
