Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,Type 1,Type 2,Type 3,Type 4
24525,69022,,support.eu@Company.com,Payment of 40 euros,"TO WHOM IT MAY CONCERN, I AM SO CONFUSED WITH A PAYMENT YOU CASHED OUT OF MY PAYPAL ACCOUNT, I WANT TO CANCLE ANY SUBMISSIONS THAT I HAD WITH YOU WHICH I DON'T REMEMBER ANY, PLEASE REFUND ME ASAP!!!!!",In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
24525,69022,,support.eu@Company.com,Payment of 40 euros,"TO WHOM IT MAY CONCERN, I AM SO CONFUSED WITH A PAYMENT YOU CASHED OUT OF MY PAYPAL ACCOUNT, I WANT TO CANCLE ANY SUBMISSIONS THAT I HAD WITH YOU WHICH I DON'T REMEMBER ANY, PLEASE REFUND ME ASAP!!!!!",In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Refund,Within 14 days of purchase (not product issue)
24496,68891,,support.eu@Company.com,Résiliation de l’abonnement ,Bonjour Auriez-vous la possibilité de résilier l’abonnement cause je n’ai plus le portable. Merci Cordialement Envoyé de mon iPhoneI have been looking for a phone to call me for a while and I have been trying to find a way to get it. Thank you. Sent from my iPhone,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Other,
24496,69316,,support.eu@Company.com,Undelivered Mail Returned to Sender,"This is the mail system at host frasgout13.his.Company.com. I'm sorry to have to inform you that your message could not be delivered to one or more recipients. It's attached below. For further assistance, please send mail to postmaster. If you do so, please include this problem report. You can delete your own text from the attached returned message. The mail system : host alt1.gmail-smtp-in.l.google.com[142.251.9.27] said: 452-4.2.2 The email account that you tried to reach is over quota. Please direct 452-4.2.2 the recipient to 452 4.2.2 https://support.google.com/mail/?p=OverQuotaTemp v17-*****(PHONE)a*****(PHONE)b*****(PHONE)ef3df09a3si*****(PHONE)edx.371 - gsmtp (in reply to RCPT TO command)",In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Others,,
24470,68803,,support.eu@Company.com,Akcja Company,Pomimo odebrania kluczy niedolicza ich. Z poprzednimi 10 kluczami było to sam1o... Tylko nie nagrałam. Następne 40 co chciałam odebrać też było to samo. Dodam że robiłam zgodnie z regulaminem. Co 24 godz robiłam 5 poleceń.. zresztą nie dało się w krótszym czasie bo nie zaliczało..tylko 5 kliknięć co 24 godz.. A między każda próba odbioru też była ponad doba różnicy. Nie tylko ja mam taki problem a kontakt z Company nic nie pomógł Jak zatem uzbierać na tablet czy słuchawki jak akcja trwa do 14 września a mamy po nieco ponad 200 punktów.? Dodam że każda zmiana aplikacji była robiona więc nie dało się więcej punktów zebrać... Czy macie zamiar częściej teraz wymieniać aplikacje czy jak to rozwiązane będzie ?,In-App Purchase / Suggestions &amp; Feedback,In-App Purchase ,Others,,
23416,65532,,support.eu@Company.com,Disdetta,Chiedo cortesemente che sia bloccato abbonamento. Grazie,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23389,65457,,support.eu@Company.com,,Prego annullare iscrizione,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23269,65153,,support.eu@Company.com,Revoca spesa,Non voglio piu questa spesa. Inviata dal mio telefono,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23219,65004,,support.eu@Company.com,,"Salve, Perché mi è arrivata una mail con un pagamento a vostro favore quando io in realtà non ho fatto niente? Grazie",In-App Purchase / Unauthorised charges- bank account,In-App Purchase ,Suggestion,Payment,Query deduction details
23040,64501,44805.78125,support.eu@Company.com,Company Support issue submit,"Product: Cloud Requests: Upgrade Cloud storage Contact Full Name: Pavol Heteš Phone Number: *****(PHONE) Contact Email Address: xxxxx@xxxx.com Company Id Account: *****(PHONE) Summary of the issue: Dobrý deň. Platím za niečo, čo nevyužívam Zrušiť účet a poplatok zaň. Ďakujem Home | News | Events | Products | Partners | Support Copyright Company SE",In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
